Department,Number of Classes
ENGL,98
BIOS,93
CRWR,89
RLST,73
FREN,71
ECON,70
CMSC,66
ANTH,58
MUSI,58
MENG,53
HIST,51
CHEM,48
PBPL,48
ITAL,47
ARTH,47
PLSC,47
ARTV,46
ARAB,45
SPAN,43
TAPS,42
HIPS,41
MATH,39
HMRT,38
REES,38
STAT,37
GNSE,37
NEHC,36
CHIN,35
SALC,35
CMST,34
MAAD,34
BUSN,32
PHIL,30
GEOS,29
MDVL,29
LING,27
ASTR,26
CLCV,26
PSYC,26
NSCI,26
SOCI,26
EALC,23
LLSO,23
FNDL,22
CMLT,22
GLST,22
GRMN,21
ECMA,19
DATA,15
PHYS,15
LACS,15
LATN,14
MACS,13
HEBR,12
RDIN,12
TURK,12
JWSC,12
DIGS,11
SSAD,11
NEAA,11
KORE,10
ENSC,9
PORT,9
SCPD,9
CATA,8
HIND,8
MARA,8
GREK,8
ENST,8
CEGU,7
IRHU,7
JAPN,7
EGPT,6
CHDV,6
RUSS,6
SUMR,6
NORW,5
GISC,5
AKKD,5
ASLG,4
CZEC,4
POLI,4
BCSN,3
ARCH,3
ARAM,3
NELG,3
SWAH,2
URDU,2
TAML,2
UZBK,2
TBTN,2
AANL,2
SANS,2
PERS,2
MOGK,2
COGS,2
BASQ,2
BANG,2
ARME,2
PPHA,1
MAPS,1
KAZK,1
DEMS,1
YDDH,1
